學年度,學期,學校,,,系所名稱,學制,對方學校（機構）國別(地區),對方學校(機構)名稱,,本國學生出國進修、交流人數,,
,,設立別,類別,名稱,,,,中文名稱,英文名稱,小計,男,女
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),捷克共和國,大都會大學,METROPOLITAN UNIVERSITY PRAGUE,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),奧地利共和國,克姆斯應用科學大學,IMC UNIVERSITY OF APPLIED SCIENCES KREMS,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),愛爾蘭共和國,都柏林理工學院,DUBLIN INSTITUTE OF TECHNOLOGY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),瑞典王國,烏普薩拉大學,UPPSALA UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),義大利共和國,杜林大學,UNIVERSITY OF TURIN,2,0,2
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),日本,秋田國際教養大學,AKITA INTERNATIONAL UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,外交學系,碩士班(日間),大陸地區,北京大學,Peking University,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,碩士班(日間),大韓民國(南韓),首爾大學,SEOUL NATIONAL UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,碩士班(日間),大韓民國(南韓),翰林大學高等國際研究學院,HALLYM UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,碩士班(日間),泰王國(泰國),曼谷大學,BANGKOK UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,國家發展研究所,碩士班(日間),大陸地區,上海交通大學,Shanghai Jiao Tong University,1,1,0
101,1,公立,一般大學,國立政治大學,勞工研究所,碩士班(日間),大陸地區,南京大學,Nanjing University,1,1,0
101,1,公立,一般大學,國立政治大學,傳播學士學位學程,學士班(日間),大陸地區,清華大學,Tsinghua University,1,0,1
101,1,公立,一般大學,國立政治大學,傳播學士學位學程,學士班(日間),芬蘭共和國,坦佩利大學,"UNIVERSITY OF TAMPERE, THE",1,0,1
101,1,公立,一般大學,國立政治大學,傳播學士學位學程,學士班(日間),美國,伊利諾州立大學,ILLINOIS STATE UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,國際傳播英語碩士學位學程,碩士班(日間),澳大利亞,昆士蘭大學,UNIVERSITY OF QUEENSLAND,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,學士班(日間),日本,中央大學,CHUNG-ANG UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,學士班(日間),法國,里爾政治學院,SCIENCES PO LILLE,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,學士班(日間),捷克共和國,馬薩里克大學,MASARYK UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,新聞學系,學士班(日間),愛爾蘭共和國,都柏林理工學院,DUBLIN INSTITUTE OF TECHNOLOGY,1,0,1
